Gigabytes Accessed,(Effective) Gigabytes Accessed,Double Precision FLOPs,Single Precision FLOPs,Half Precision FLOPs,Tensor FLOPs,Run Time (s),(NCU) Total GFLOPs,GFLOPs/s,Compute Intensity,(Effective) Compute Intensity,(Double Precision) Compute Intensity,(Single Precision) Compute Intensity,(Half Precision) Compute Intensity,(Tensor) Compute Intensity,Workload
21.45111148,9.56584604855521,0.0,21017058048.0,16339028890.0,5442528870400.0,0.06779059,5479.884957338,80835.48110936931,255.45925498765808,572.8594135346409,0.0,0.9797654572629165,0.7616868200621556,253.71780271033302,"ridger-MMfreeLM-2.7B end to end with batch size: 1, tokens generated: 2, sequence length: 1000"
0.1671,0.07451608632046397,0.0,255736320.0,136937178.0,53687091200.0,0.0008904999999999999,54.079764698,60729.6627714767,323.6371316457211,725.7461760058693,0.0,1.5304387791741474,0.8194923877917414,321.2872004787552,"ridger-MMfreeLM-2.7B  first HGRNBitAttention region: batch size: 1, tokens generated: 2, sequence length: 1000"
0.2381,0.10617761910773471,0.0,318101504.0,184928401.0,108716359680.0,0.00064807,109.219389585,168530.2352909408,458.7122620117598,1028.6479439153643,0.0,1.3359995968080638,0.7766837505249895,456.5995786644267,"ridger-MMfreeLM-2.7B  first HGRNBitMLP region: batch size: 1, tokens generated: 2, sequence length: 1000"
0.01829,0.008156189220833549,0.0,2621440.0,0.0,13421772800.0,5.485e-05,13.42439424,244747.38814949864,733.9745347184253,1645.9150071837162,0.0,0.14332640787315473,0.0,733.8312083105521,"ridger-MMfreeLM-2.7B first linearFunction region: batch size: 1, tokens generated: 2, sequence length: 1000"
14.693468359999999,6.552362397730498,0.0,20015810048.0,11847043231.0,5364682588160.0,0.052614020000000004,5396.545441439,102568.58231777383,367.2751258736164,823.6030173343538,0.0,1.3622250075747262,0.8062795618256602,365.10662130421605,"ridger-MMfreeLM-2.7B  first prefill region: batch size: 1, tokens generated: 2, sequence length: 1000"
6.7575105099999995,3.0134245151083334,0.0,1001248000.0,4491935611.0,77846282240.0,0.015161790000000001,83.339465851,5496.677229469607,12.332865147256724,27.656065527164508,0.0,0.14816817502811402,0.6647323158954288,11.51996465633318,"ridger-MMfreeLM-2.7B  first decode region: batch size: 1, tokens generated: 2, sequence length: 1000"
4354.4893213000005,4328.966682355809,0.0,4379776461824.0,2169433375165.0,1342511817687040.0,6.224546450000001,1349061.027524029,216732.42192995903,309.8092400698038,311.6358074601476,0.0,1.0058071426195276,0.4982061534869793,308.3052267736973,"ridger-MMfreeLM-2.7B end to end with batch size: 256, tokens generated: 2, sequence length: 1000"
55.53661,55.21109746784591,0.0,62751375360.0,28434323228.0,13421772800000.0,0.06988339000000002,13512.958498588,193364.3817019752,243.31622867488667,244.7507678407903,0.0,1.129910078414941,0.511992417758304,241.67432617871347,"ridger-MMfreeLM-2.7B  first HGRNBitAttention region: batch size: 256, tokens generated: 2, sequence length: 1000"
61.28743,60.928210621494244,0.0,62603264000.0,27873187648.0,27179089920000.0,0.10748467,27269.566371648,253706.56458868043,444.94550304439264,447.56880422855954,0.0,1.0214698837918315,0.4547945255332129,443.46923863506754,"ridger-MMfreeLM-2.7B  first HGRNBitMLP region: batch size: 256, tokens generated: 2, sequence length: 1000"
3.92,3.897024000455843,0.0,655360000.0,0.0,3355443200000.0,0.01013,3356.09856,331302.918065153,856.1475918367347,861.1952504288992,0.0,0.16718367346938778,0.0,855.9804081632653,"ridger-MMfreeLM-2.7B first linearFunction region: batch size: 256, tokens generated: 2, sequence length: 1000"
