device,model,Weight Packing,Memory Usage,batch size,tokens_per_second,run_time_seconds,Avg Prefill Time (s),Max Prefill Time (s),Min Prefill Time (s),Avg Single Deocde Time (s),Min Single Deocde Time (s),Max Single Deocde Time (s),Avg Deocde Time For 31 Tokens (s),Max Deocde Time For 31 Tokens (s),Min Deocde Time For 31 Tokens (s)
NVIDIA A40,microsoft/bitnet-b1.58-2B-4T,True,1.1058406829833984,512,1857.2452007912018,8.827997636795043,4.741160917282104,4.762421131134033,4.722400188446045,0.09743074447877946,0.09351110458374023,0.10172176361083984,3.020353078842163,3.028184652328491,3.014411211013794
NVIDIA A40,microsoft/bitnet-b1.58-2B-4T,True,1.1058406829833984,256,1439.2806976919476,5.691791677474976,2.3882086753845213,2.396907329559326,2.381472587585449,0.08920978269269389,0.08745932579040527,0.09552836418151855,2.765503263473511,2.785238265991211,2.7530934810638428
NVIDIA A40,microsoft/bitnet-b1.58-2B-4T,True,1.1058406829833984,128,962.70402086402,4.254737281799317,1.1993299007415772,1.2020690441131592,1.1977589130401611,0.08884510378683767,0.08758759498596191,0.09234976768493652,2.7541982173919677,2.7645983695983887,2.743772029876709
NVIDIA A40,microsoft/bitnet-b1.58-2B-4T,True,1.1058406829833984,64,583.3987913532859,3.510515308380127,0.6114923477172851,0.6118087768554688,0.6108415126800537,0.08967611866612588,0.08742642402648926,0.09366655349731445,2.7799596786499023,2.7942404747009277,2.746422529220581
NVIDIA A40,microsoft/bitnet-b1.58-2B-4T,True,1.1058406829833984,32,323.89637618388485,3.161574602127075,0.31410579681396483,0.31571221351623535,0.31313323974609375,0.0902886821377662,0.08801746368408203,0.0965268611907959,2.798949146270752,2.8198556900024414,2.78312349319458
NVIDIA A40,microsoft/bitnet-b1.58-2B-4T,True,1.1058406829833984,16,170.54354020886007,3.0023526191711425,0.17793540954589843,0.17982101440429688,0.17728018760681152,0.08915561706789078,0.08710312843322754,0.09646248817443848,2.763824129104614,2.809720277786255,2.7193856239318848
NVIDIA A40,microsoft/bitnet-b1.58-2B-4T,True,1.1058406829833984,8,88.0004732916097,2.9090778827667236,0.10366721153259277,0.10504388809204102,0.10312938690185547,0.08870704404769406,0.0868992805480957,0.09297585487365723,2.7499183654785155,2.762528419494629,2.7395148277282715
NVIDIA A40,microsoft/bitnet-b1.58-2B-4T,True,1.1058406829833984,4,43.753774177239414,2.9255193710327148,0.09448719024658203,0.09815597534179688,0.09292268753051758,0.08930812804929672,0.08745050430297852,0.0922994613647461,2.768551969528198,2.7824697494506836,2.762273073196411
NVIDIA A40,microsoft/bitnet-b1.58-2B-4T,True,1.1058406829833984,2,22.19860961180667,2.8831354141235352,0.0918034553527832,0.09311389923095703,0.09107851982116699,0.08880405272206952,0.08747529983520508,0.09587669372558594,2.7529256343841553,2.7687888145446777,2.7304515838623047
NVIDIA A40,microsoft/bitnet-b1.58-2B-4T,True,1.1058406829833984,1,11.386549210679158,2.8103943824768067,0.09280352592468262,0.10024333000183105,0.08946943283081055,0.08659637358880812,0.08510637283325195,0.09119582176208496,2.6844875812530518,2.7078418731689453,2.664104461669922
NVIDIA A40,microsoft/bitnet-b1.58-2B-4T,False,4.526067733764648,512,1965.691133463238,8.335005807876588,4.7668859481811525,4.777709484100342,4.751121520996094,0.08325384047723586,0.07976031303405762,0.08684754371643066,2.5808690547943116,2.5840001106262207,2.577954053878784
NVIDIA A40,microsoft/bitnet-b1.58-2B-4T,False,4.526067733764648,256,1556.3753136841954,5.263520860671997,2.3744351387023928,2.3781657218933105,2.371446132659912,0.0764279027138987,0.07497572898864746,0.08174991607666016,2.3692649841308593,2.3797271251678467,2.3583011627197266
NVIDIA A40,microsoft/bitnet-b1.58-2B-4T,False,4.526067733764648,128,1070.717777048854,3.825496244430542,1.1832932949066162,1.1845786571502686,1.1811811923980713,0.07670626640319825,0.07473134994506836,0.08449196815490723,2.3778942584991456,2.4092769622802734,2.348414659500122
NVIDIA A40,microsoft/bitnet-b1.58-2B-4T,False,4.526067733764648,64,659.2171736977891,3.106729745864868,0.5962352752685547,0.5966312885284424,0.5959146022796631,0.07541858303931452,0.07439327239990234,0.07977628707885742,2.33797607421875,2.341783046722412,2.3328957557678223
NVIDIA A40,microsoft/bitnet-b1.58-2B-4T,False,4.526067733764648,32,373.38349613976357,2.742560625076294,0.29996728897094727,0.30117321014404297,0.29961252212524414,0.07566934247170726,0.07408428192138672,0.08254647254943848,2.345749616622925,2.355408191680908,2.3305060863494873
NVIDIA A40,microsoft/bitnet-b1.58-2B-4T,False,4.526067733764648,16,198.05194272740633,2.5852542400360106,0.1633704662322998,0.16445517539978027,0.1630403995513916,0.07629694477204353,0.07462859153747559,0.0802609920501709,2.3652052879333496,2.3791277408599854,2.3416991233825684
NVIDIA A40,microsoft/bitnet-b1.58-2B-4T,False,4.526067733764648,8,102.43792216846802,2.4990772724151613,0.08920407295227051,0.09056997299194336,0.0885770320892334,0.07594952583312989,0.0743856430053711,0.07997751235961914,2.3544353008270265,2.4117822647094727,2.3278841972351074
NVIDIA A40,microsoft/bitnet-b1.58-2B-4T,False,4.526067733764648,4,51.876022978971356,2.467443513870239,0.0802957534790039,0.08131265640258789,0.0794992446899414,0.07646181814132198,0.07498288154602051,0.08213639259338379,2.3703163623809815,2.383664608001709,2.362651824951172
NVIDIA A40,microsoft/bitnet-b1.58-2B-4T,False,4.526067733764648,2,25.967107280877723,2.464665174484253,0.07960662841796876,0.0839395523071289,0.07749748229980469,0.0757688876121275,0.07439136505126953,0.07995295524597168,2.348835515975952,2.3586790561676025,2.336235284805298
NVIDIA A40,microsoft/bitnet-b1.58-2B-4T,False,4.526067733764648,1,13.190501320163584,2.425995349884033,0.07832126617431641,0.07930493354797363,0.0775299072265625,0.07441826174336096,0.07324385643005371,0.07636761665344238,2.3069661140441893,2.3117728233337402,2.3016843795776367
