device,model,Weight Packing,batch size,tokens_per_second,run_time_seconds,Avg Prefill Time (s),Max Prefill Time (s),Min Prefill Time (s),Avg Single Deocde Time (s),Min Single Deocde Time (s),Max Single Deocde Time (s),Avg Deocde Time For 31 Tokens (s),Max Deocde Time For 31 Tokens (s),Min Deocde Time For 31 Tokens (s)
Tesla V100-SXM2-32GB,microsoft/bitnet-b1.58-2B-4T,True,512,398.81344628898734,41.0818651676178,25.29254937171936,25.299050331115723,25.283682584762573,0.5380793033107635,0.5137069225311279,0.5632622241973877,16.68045840263367,16.684569120407104,16.675334453582764
Tesla V100-SXM2-32GB,microsoft/bitnet-b1.58-2B-4T,True,256,356.4615587361441,22.98144097328186,12.681509017944336,12.705494165420532,12.674899101257324,0.34551070274845247,0.33374595642089844,0.3580007553100586,10.710831785202027,10.717374324798584,10.70192265510559
Tesla V100-SXM2-32GB,microsoft/bitnet-b1.58-2B-4T,True,128,295.0225272799561,13.883824110031128,6.40398097038269,6.432148218154907,6.396090030670166,0.24796263633235807,0.23838138580322266,0.29237914085388184,7.686841726303101,7.770210027694702,7.5933167934417725
Tesla V100-SXM2-32GB,microsoft/bitnet-b1.58-2B-4T,True,64,194.37787291575162,10.536270809173583,3.292406177520752,3.325650453567505,3.2821826934814453,0.23079982419167797,0.22035622596740723,0.27944183349609375,7.154794549942016,7.42688250541687,6.994502782821655
Tesla V100-SXM2-32GB,microsoft/bitnet-b1.58-2B-4T,True,32,114.94800992244922,8.912567090988158,1.7056278228759765,1.727487564086914,1.6997787952423096,0.23649959564208983,0.22014927864074707,0.28227806091308594,7.331487464904785,7.5486900806427,7.021703004837036
Tesla V100-SXM2-32GB,microsoft/bitnet-b1.58-2B-4T,True,16,61.41462522816013,8.338022422790527,0.9371802806854248,0.9558007717132568,0.9319734573364258,0.22929523221908077,0.22034072875976562,0.27284836769104004,7.108152198791504,7.172811269760132,6.987884521484375
Tesla V100-SXM2-32GB,microsoft/bitnet-b1.58-2B-4T,True,8,32.32325324996651,7.921220827102661,0.5452848911285401,0.5778284072875977,0.536536455154419,0.23355570916206606,0.22118473052978516,0.28482627868652344,7.240226984024048,7.441998481750488,7.115005970001221
Tesla V100-SXM2-32GB,microsoft/bitnet-b1.58-2B-4T,True,4,16.319101710237042,7.845360517501831,0.338273811340332,0.3650827407836914,0.33092236518859863,0.2318261731055475,0.2192380428314209,0.2758052349090576,7.186611366271973,7.44063401222229,6.924270868301392
Tesla V100-SXM2-32GB,microsoft/bitnet-b1.58-2B-4T,True,2,8.661690991944461,7.3911748886108395,0.3062100887298584,0.5007081031799316,0.2533993721008301,0.23911758392087876,0.21860122680664062,0.4720127582550049,7.412645101547241,7.729012727737427,7.275479078292847
Tesla V100-SXM2-32GB,microsoft/bitnet-b1.58-2B-4T,True,1,4.296572261336719,7.450205850601196,0.24945812225341796,0.26718783378601074,0.2334425449371338,0.22964873313903808,0.21471548080444336,0.2669222354888916,7.119110727310181,7.404388666152954,6.874775409698486
Tesla V100-SXM2-32GB,microsoft/bitnet-b1.58-2B-4T,False,512,415.9635458161349,39.38806862831116,25.257975101470947,25.274964570999146,25.22340679168701,0.4849199387335008,0.46053171157836914,0.5110270977020264,15.032518100738525,15.043617010116577,15.025105714797974
