-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      22.007ms         0.42%      22.007ms       3.582us           0 B           0 B           0 B           0 B          6144            --  
void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816...         0.00%       0.000us         0.00%       0.000us       0.000us      21.802ms         0.42%      21.802ms     113.553us           0 B           0 B           0 B           0 B           192            --  
                                            aten::copy_         0.32%      67.884ms         1.05%     223.183ms      16.103us      16.942ms         0.33%      16.945ms       1.223us           0 B           0 B           0 B           0 B         13860            --  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us      16.488ms         0.32%      16.488ms       0.415us           0 B           0 B           0 B           0 B         39744            --  
                                             aten::sort         0.04%       8.368ms         0.13%      27.954ms     145.594us      15.921ms         0.31%      16.451ms      85.681us           0 B           0 B       2.20 GB       2.20 GB           192            --  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      16.094ms         0.31%      16.094ms       1.195us           0 B           0 B           0 B           0 B         13464            --  
                                              aten::sub         0.40%      84.291ms         0.67%     142.314ms      11.398us      15.389ms         0.30%      15.391ms       1.233us           0 B           0 B       1.90 GB       1.90 GB         12486            --  
                                             aten::rsub         0.25%      52.787ms         0.90%     191.838ms      15.612us       0.000us         0.00%      14.974ms       1.219us      11.54 KB      23.08 KB       1.87 GB           0 B         12288            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      14.763ms         0.28%      14.763ms       1.221us           0 B           0 B           0 B           0 B         12096            --  
                          swiglu_fwd_vectorized8_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      13.820ms         0.27%      13.820ms       2.249us           0 B           0 B           0 B           0 B          6144            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      13.721ms         0.26%      13.721ms       2.233us           0 B           0 B           0 B           0 B          6144            --  
                                          aten::softmax         0.01%       1.491ms         0.04%       8.559ms      14.860us       0.000us         0.00%      10.254ms      17.802us           0 B           0 B       1.49 GB           0 B           576            --  
                                         aten::_softmax         0.02%       3.942ms         0.03%       7.068ms      12.271us      10.254ms         0.20%      10.254ms      17.802us           0 B           0 B       1.49 GB       1.49 GB           576            --  
                             FusedRecurrentHGRNFunction         3.33%     706.086ms         3.89%     824.626ms     134.216us       9.951ms         0.19%       9.951ms       1.620us           0 B           0 B       2.78 GB           0 B          6144            --  
                        fused_recurrent_hgrn_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       9.951ms         0.19%       9.951ms       1.620us           0 B           0 B           0 B           0 B          6144            --  
                                             aten::topk         0.05%      10.007ms         0.14%      29.587ms     154.101us       9.687ms         0.19%       9.687ms      50.453us           0 B           0 B       3.56 MB       3.55 MB           192            --  
                                          aten::sigmoid         0.23%      48.282ms         0.40%      83.937ms      13.662us       9.682ms         0.19%       9.683ms       1.576us           0 B           0 B       1.85 GB       1.85 GB          6144            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       9.682ms         0.19%       9.682ms       1.576us           0 B           0 B           0 B           0 B          6144            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       9.649ms         0.19%       9.649ms       1.570us           0 B           0 B           0 B           0 B          6144            --  
                                            aten::clone         0.09%      20.122ms         0.45%      95.982ms      13.898us       0.000us         0.00%       9.548ms       1.383us           0 B           0 B       3.12 GB           0 B          6906            --  
                                           aten::cumsum         0.02%       3.930ms         0.03%       6.249ms      16.023us       9.375ms         0.18%       9.375ms      24.038us           0 B           0 B     780.00 MB     780.00 MB           390            --  
void at_cuda_detail::cub::DeviceRadixSortOnesweepKer...         0.00%       0.000us         0.00%       0.000us       0.000us       8.775ms         0.17%       8.775ms      11.426us           0 B           0 B           0 B           0 B           768            --  
                                      aten::multinomial         0.03%       6.961ms         0.22%      46.351ms     241.410us       0.000us         0.00%       8.100ms      42.188us           0 B           0 B      96.00 KB    -750.84 MB           192            --  
void at::native::tensor_kernel_scan_innermost_dim<fl...         0.00%       0.000us         0.00%       0.000us       0.000us       8.074ms         0.15%       8.074ms      42.050us           0 B           0 B           0 B           0 B           192            --  
void at::native::(anonymous namespace)::cunn_SoftMax...         0.00%       0.000us         0.00%       0.000us       0.000us       6.009ms         0.12%       6.009ms      15.648us           0 B           0 B           0 B           0 B           384            --  
void at::native::(anonymous namespace)::cunn_Spatial...         0.00%       0.000us         0.00%       0.000us       0.000us       4.245ms         0.08%       4.245ms      22.110us           0 B           0 B           0 B           0 B           192            --  
void at::native::mbtopk::computeBlockDigitCounts<flo...         0.00%       0.000us         0.00%       0.000us       0.000us       2.100ms         0.04%       2.100ms       2.734us           0 B           0 B           0 B           0 B           768            --  
void at::native::mbtopk::computeBlockwiseWithinKCoun...         0.00%       0.000us         0.00%       0.000us       0.000us       1.991ms         0.04%       1.991ms       2.592us           0 B           0 B           0 B           0 B           768            --  
void at_cuda_detail::cub::DeviceRadixSortOnesweepKer...         0.00%       0.000us         0.00%       0.000us       0.000us       1.944ms         0.04%       1.944ms      10.127us           0 B           0 B           0 B           0 B           192            --  
                                      aten::masked_fill         0.01%       2.318ms         0.07%      15.232ms      39.667us       0.000us         0.00%       1.586ms       4.129us           0 B           0 B       1.46 GB           0 B           384            --  
                                           aten::argmax         0.01%       1.338ms         0.01%       2.381ms      12.403us       1.543ms         0.03%       1.543ms       8.038us           0 B           0 B           0 B           0 B           192            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       1.543ms         0.03%       1.543ms       8.038us           0 B           0 B           0 B           0 B           192            --  
                                             aten::isin         0.01%       3.019ms         0.06%      13.411ms      67.731us       0.000us         0.00%       1.461ms       7.379us           0 B           0 B      99.00 KB     -99.00 KB           198            --  
                                              aten::max         0.02%       4.435ms         0.04%       8.161ms      21.252us       1.385ms         0.03%       1.385ms       3.606us           0 B           0 B     192.00 KB           0 B           384            --  
void at::native::tensor_kernel_scan_outer_dim<c10::H...         0.00%       0.000us         0.00%       0.000us       0.000us       1.287ms         0.02%       1.287ms       6.704us           0 B           0 B           0 B           0 B           192            --  
                                          aten::scatter         0.01%       3.137ms         0.03%       6.288ms      32.749us       1.015ms         0.02%       1.283ms       6.683us           0 B           0 B     187.50 MB     187.50 MB           192            --  
at::native::mbtopk::computeDigitCumSum(short*, unsig...         0.00%       0.000us         0.00%       0.000us       0.000us       1.283ms         0.02%       1.283ms       1.670us           0 B           0 B           0 B           0 B           768            --  
                                              aten::any         0.02%       3.576ms         0.03%       5.932ms      14.757us       1.239ms         0.02%       1.259ms       3.133us           0 B           0 B     201.00 KB     201.00 KB           402            --  
                                            aten::fill_         0.02%       4.961ms         0.05%      11.054ms       9.448us       1.134ms         0.02%       1.134ms       0.969us           0 B           0 B           0 B           0 B          1170            --  
void at_cuda_detail::cub::DeviceScanByKeyKernel<at_c...         0.00%       0.000us         0.00%       0.000us       0.000us       1.119ms         0.02%       1.119ms       2.915us           0 B           0 B           0 B           0 B           384            --  
void at::native::(anonymous namespace)::sort_postpro...         0.00%       0.000us         0.00%       0.000us       0.000us       1.102ms         0.02%       1.102ms       5.738us           0 B           0 B           0 B           0 B           192            --  
                                              aten::min         0.01%       2.724ms         0.02%       5.062ms      26.363us       1.030ms         0.02%       1.030ms       5.364us           0 B           0 B      96.00 KB           0 B           192            --  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us       1.015ms         0.02%       1.015ms       5.289us           0 B           0 B           0 B           0 B           192            --  
void at::native::mbtopk::gatherTopK<float, unsigned ...         0.00%       0.000us         0.00%       0.000us       0.000us       1.009ms         0.02%       1.009ms       5.254us           0 B           0 B           0 B           0 B           192            --  
                                              aten::sum         0.01%       2.320ms         0.02%       3.588ms      18.122us       1.000ms         0.02%       1.008ms       5.089us           0 B           0 B      99.00 KB      96.00 KB           198            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     988.708us         0.02%     988.708us       5.150us           0 B           0 B           0 B           0 B           192            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     891.580us         0.02%     891.580us       4.644us           0 B           0 B           0 B           0 B           192            --  
