-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                      swiglu_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       3.769ms         0.33%       3.769ms       3.800us           0 b           0 b           0 b           0 b           992            --  
                                             aten::sort         0.05%       1.219ms         0.14%       3.728ms     120.269us       3.591ms         0.31%       3.671ms     118.414us           0 b           0 b     363.28 Mb     363.28 Mb            31            --  
                                              aten::sub         0.46%      12.143ms         0.74%      19.712ms       9.778us       3.645ms         0.32%       3.645ms       1.808us           0 b           0 b     164.55 Mb     164.55 Mb          2016            --  
                                             aten::rsub         0.34%       9.047ms         1.07%      28.345ms      14.287us       0.000us         0.00%       3.535ms       1.782us       1.36 Kb       2.72 Kb     159.71 Mb           0 b          1984            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.490ms         0.30%       3.490ms       1.787us           0 b           0 b           0 b           0 b          1953            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.488ms         0.30%       3.488ms       3.516us           0 b           0 b           0 b           0 b           992            --  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us       2.819ms         0.25%       2.819ms       2.842us           0 b           0 b           0 b           0 b           992            --  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize64x128...         0.00%       0.000us         0.00%       0.000us       0.000us       2.756ms         0.24%       2.756ms      88.906us           0 b           0 b           0 b           0 b            31            --  
                          swiglu_fwd_vectorized4_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       2.568ms         0.22%       2.568ms       2.588us           0 b           0 b           0 b           0 b           992            --  
                             FusedRecurrentHGRNFunction         3.21%      85.083ms         3.82%     101.189ms     102.005us       2.343ms         0.20%       2.343ms       2.362us           0 b           0 b     310.00 Mb           0 b           992            --  
                        fused_recurrent_hgrn_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       2.343ms         0.20%       2.343ms       2.362us           0 b           0 b           0 b           0 b           992            --  
                                            aten::clone         0.10%       2.528ms         0.50%      13.271ms      11.902us       0.000us         0.00%       2.278ms       2.043us           0 b           0 b     463.23 Mb           0 b          1115            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.208ms         0.19%       2.208ms       2.226us           0 b           0 b           0 b           0 b           992            --  
                                             aten::topk         0.06%       1.486ms         0.14%       3.711ms     119.708us       2.156ms         0.19%       2.156ms      69.540us           0 b           0 b     589.00 Kb     585.50 Kb            31            --  
                                          aten::sigmoid         0.26%       6.797ms         0.43%      11.274ms      11.365us       2.069ms         0.18%       2.069ms       2.085us           0 b           0 b     155.00 Mb     155.00 Mb           992            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.069ms         0.18%       2.069ms       2.085us           0 b           0 b           0 b           0 b           992            --  
void at_cuda_detail::cub::DeviceRadixSortOnesweepKer...         0.00%       0.000us         0.00%       0.000us       0.000us       2.023ms         0.18%       2.023ms      16.318us           0 b           0 b           0 b           0 b           124            --  
                                      aten::multinomial         0.04%       1.037ms         0.25%       6.579ms     212.241us       0.000us         0.00%       1.784ms      57.551us           0 b           0 b      15.50 Kb    -123.67 Mb            31            --  
                                          aten::softmax         0.01%     151.864us         0.04%       1.124ms      12.085us       0.000us         0.00%       1.702ms      18.305us           0 b           0 b     252.52 Mb           0 b            93            --  
                                         aten::_softmax         0.02%     539.106us         0.04%     972.018us      10.452us       1.702ms         0.15%       1.702ms      18.305us           0 b           0 b     252.52 Mb     252.52 Mb            93            --  
                                           aten::cumsum         0.02%     535.935us         0.03%     852.070us      13.525us       1.648ms         0.14%       1.648ms      26.161us           0 b           0 b     125.94 Mb     125.94 Mb            63            --  
void at::native::tensor_kernel_scan_innermost_dim<fl...         0.00%       0.000us         0.00%       0.000us       0.000us       1.388ms         0.12%       1.388ms      44.784us           0 b           0 b           0 b           0 b            31            --  
void at::native::(anonymous namespace)::cunn_SoftMax...         0.00%       0.000us         0.00%       0.000us       0.000us     993.421us         0.09%     993.421us      16.023us           0 b           0 b           0 b           0 b            62            --  
void at::native::mbtopk::radixFindKthValues<float, u...         0.00%       0.000us         0.00%       0.000us       0.000us     872.449us         0.08%     872.449us       7.036us           0 b           0 b           0 b           0 b           124            --  
void at::native::(anonymous namespace)::cunn_Spatial...         0.00%       0.000us         0.00%       0.000us       0.000us     708.962us         0.06%     708.962us      22.870us           0 b           0 b           0 b           0 b            31            --  
void at_cuda_detail::cub::DeviceRadixSortOnesweepKer...         0.00%       0.000us         0.00%       0.000us       0.000us     364.193us         0.03%     364.193us      11.748us           0 b           0 b           0 b           0 b            31            --  
void at::native::mbtopk::computeBlockwiseWithinKCoun...         0.00%       0.000us         0.00%       0.000us       0.000us     353.410us         0.03%     353.410us       2.850us           0 b           0 b           0 b           0 b           124            --  
                                      aten::masked_fill         0.01%     376.059us         0.08%       2.040ms      32.906us       0.000us         0.00%     331.649us       5.349us           0 b           0 b     245.23 Mb           0 b            62            --  
                                           aten::argmax         0.01%     185.753us         0.01%     317.661us      10.247us     328.964us         0.03%     328.964us      10.612us           0 b           0 b           0 b           0 b            31            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     328.964us         0.03%     328.964us      10.612us           0 b           0 b           0 b           0 b            31            --  
                                             aten::isin         0.02%     421.302us         0.07%       1.974ms      61.696us       0.000us         0.00%     324.643us      10.145us           0 b           0 b      16.00 Kb     -16.00 Kb            32            --  
                                              aten::max         0.02%     614.044us         0.04%       1.147ms      18.506us     323.584us         0.03%     323.584us       5.219us           0 b           0 b      31.00 Kb           0 b            62            --  
void at::native::(anonymous namespace)::sort_postpro...         0.00%       0.000us         0.00%       0.000us       0.000us     312.290us         0.03%     312.290us      10.074us           0 b           0 b           0 b           0 b            31            --  
                                              aten::any         0.02%     567.929us         0.03%     888.101us      13.663us     266.720us         0.02%     271.040us       4.170us           0 b           0 b      32.50 Kb      32.50 Kb            65            --  
                                            aten::fill_         0.03%     729.589us         0.06%       1.607ms       8.459us     269.187us         0.02%     269.187us       1.417us           0 b           0 b           0 b           0 b           190            --  
void at::native::tensor_kernel_scan_outer_dim<c10::H...         0.00%       0.000us         0.00%       0.000us       0.000us     256.357us         0.02%     256.357us       8.270us           0 b           0 b           0 b           0 b            31            --  
void at::native::mbtopk::gatherTopK<float, unsigned ...         0.00%       0.000us         0.00%       0.000us       0.000us     235.393us         0.02%     235.393us       7.593us           0 b           0 b           0 b           0 b            31            --  
                                              aten::min         0.01%     364.246us         0.03%     697.735us      22.508us     234.496us         0.02%     234.496us       7.564us           0 b           0 b      15.50 Kb           0 b            31            --  
                                          aten::scatter         0.02%     453.893us         0.04%     933.071us      30.099us     161.763us         0.01%     225.922us       7.288us           0 b           0 b      30.27 Mb      30.27 Mb            31            --  
void at_cuda_detail::cub::DeviceScanByKeyKernel<at_c...         0.00%       0.000us         0.00%       0.000us       0.000us     215.902us         0.02%     215.902us       3.482us           0 b           0 b           0 b           0 b            62            --  
                                              aten::sum         0.01%     330.543us         0.02%     516.545us      16.142us     203.424us         0.02%     205.216us       6.413us           0 b           0 b      16.00 Kb      15.50 Kb            32            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     205.056us         0.02%     205.056us       6.615us           0 b           0 b           0 b           0 b            31            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     203.743us         0.02%     203.743us       6.572us           0 b           0 b           0 b           0 b            31            --  
