-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        cudaMemsetAsync         1.64%      33.920ms         1.66%      34.211ms       3.987us       0.000us         0.00%      15.066ms       1.756us           0 b           0 b       8.00 Kb       8.00 Kb          8580            --  
                                              aten::add         0.49%      10.057ms         0.78%      16.196ms      11.326us      14.704ms         1.07%      14.710ms      10.286us           0 b           0 b       9.55 Gb       9.55 Gb          1430         2.602  
                                             aten::mul_         0.20%       4.171ms         0.34%       6.999ms       9.942us      13.504ms         0.98%      13.504ms      19.182us           0 b           0 b           0 b           0 b           704            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      13.504ms         0.98%      13.504ms      19.182us           0 b           0 b           0 b           0 b           704            --  
                                      aten::multinomial         0.03%     717.337us         0.24%       4.902ms     222.837us       0.000us         0.00%      12.461ms     566.416us           0 b           0 b     176.00 Kb      -2.69 Gb            22            --  
                             FusedRecurrentHGRNFunction         2.75%      56.816ms         3.34%      68.889ms      97.854us      12.319ms         0.90%      12.319ms      17.499us           0 b           0 b       8.36 Gb           0 b           704            --  
                        fused_recurrent_hgrn_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      12.319ms         0.90%      12.319ms      17.499us           0 b           0 b           0 b           0 b           704            --  
                                            aten::clone         0.11%       2.206ms         0.46%       9.537ms      12.058us       0.000us         0.00%      11.169ms      14.120us           0 b           0 b      10.86 Gb           0 b           791            --  
                                      aten::masked_fill         0.01%     154.677us         0.06%       1.336ms      30.359us       0.000us         0.00%      10.980ms     249.555us           0 b           0 b       5.37 Gb           0 b            44            --  
                                          aten::softmax         0.00%      97.757us         0.05%     980.378us      14.854us       0.000us         0.00%      10.046ms     152.213us           0 b           0 b       5.37 Gb           0 b            66            --  
                                         aten::_softmax         0.02%     375.255us         0.04%     882.621us      13.373us       9.754ms         0.71%      10.046ms     152.213us           0 b           0 b       5.37 Gb       5.37 Gb            66            --  
void at::native::(anonymous namespace)::cunn_SoftMax...         0.00%       0.000us         0.00%       0.000us       0.000us       9.201ms         0.67%       9.201ms     209.104us           0 b           0 b           0 b           0 b            44            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       8.673ms         0.63%       8.673ms      12.319us           0 b           0 b           0 b           0 b           704            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       8.303ms         0.60%       8.303ms       1.955us           0 b           0 b           0 b           0 b          4246            --  
                                       aten::reciprocal         1.13%      23.370ms         1.90%      39.171ms       9.225us       8.094ms         0.59%       8.156ms       1.921us           0 b           0 b       2.07 Mb       2.07 Mb          4246            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       8.094ms         0.59%       8.094ms       1.906us           0 b           0 b           0 b           0 b          4246            --  
void at::native::mbtopk::radixFindKthValues<float, u...         0.00%       0.000us         0.00%       0.000us       0.000us       7.551ms         0.55%       7.551ms      85.811us           0 b           0 b           0 b           0 b            88            --  
                          swiglu_fwd_vectorized4_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       7.472ms         0.54%       7.472ms      10.613us           0 b           0 b           0 b           0 b           704            --  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us       7.172ms         0.52%       7.172ms       0.836us           0 b           0 b           0 b           0 b          8580            --  
                                              aten::sub         0.46%       9.427ms         0.71%      14.664ms      10.248us       6.399ms         0.47%       6.399ms       4.472us           0 b           0 b       4.88 Gb       4.88 Gb          1431            --  
                                             aten::rsub         0.29%       5.888ms         0.98%      20.267ms      14.394us       0.000us         0.00%       6.313ms       4.484us       1.05 Kb       2.11 Kb       4.88 Gb           0 b          1408            --  
